matrix,schedule,num_threads,chunk_size,seq_time,par_time,speedup,efficiency,seq_bandwidth,par_bandwidth,bandwidth_speedup,seq_gflops,par_gflops,gflops_speedup,seq_L1_miss,par_L1_miss,seq_LLC_miss,par_LLC_miss,L1_miss_increase,LLC_miss_increase,L1_miss_ratio,LLC_miss_ratio
tmt_sym.mtx,dynamic,1,1000,5.550575,5.591035,0.992763,0.992763,8.36587,8.246978,0.985788,1.056476,1.041461,0.985788,0.26,0.26,36.13,35.344,0.0,-0.786,1.0,0.978245
tmt_sym.mtx,dynamic,2,100,5.550575,8.296752,0.669006,0.334503,8.36587,9.776208,1.168582,1.056476,1.234578,1.168581,0.26,0.26,36.13,51.251,0.0,15.121,1.0,1.418516
tmt_sym.mtx,dynamic,4,10000,5.550575,2.112794,2.627126,0.656781,8.36587,27.868083,3.331164,1.056476,3.519293,3.331162,0.26,0.26,36.13,34.05,0.0,-2.08,1.0,0.94243
tmt_sym.mtx,dynamic,8,10000,5.550575,1.812935,3.061651,0.382706,8.36587,51.79827,6.191618,1.056476,6.541292,6.191614,0.26,0.26,36.13,33.349,0.0,-2.781,1.0,0.923028
tmt_sym.mtx,dynamic,16,10000,5.550575,1.620364,3.425511,0.214094,8.36587,92.235922,11.025264,1.056476,11.64792,11.025258,0.26,0.261,36.13,34.106,0.001,-2.024,1.003846,0.94398
tmt_sym.mtx,dynamic,32,100,5.550575,1.848889,3.002114,0.093816,8.36587,56.641027,6.770489,1.056476,7.152855,6.770485,0.26,0.27,36.13,51.127,0.01,14.997,1.038462,1.415084
tmt_sym.mtx,dynamic,64,10,5.550575,4.627896,1.199373,0.01874,8.36587,10.00456,1.195878,1.056476,1.263416,1.195878,0.26,0.34,36.13,49.54,0.08,13.41,1.307692,1.37116
tmt_sym.mtx,guided,1,10000,5.550575,5.602861,0.990668,0.990668,8.36587,8.256195,0.98689,1.056476,1.042626,0.98689,0.26,0.26,36.13,34.121,0.0,-2.009,1.0,0.944395
tmt_sym.mtx,guided,2,10000,5.550575,3.29802,1.683002,0.841501,8.36587,15.239521,1.82163,1.056476,1.924508,1.82163,0.26,0.26,36.13,32.548,0.0,-3.582,1.0,0.900858
tmt_sym.mtx,guided,4,10,5.550575,1.782012,3.11478,0.778695,8.36587,29.550683,3.53229,1.056476,3.731779,3.532289,0.26,0.26,36.13,34.335,0.0,-1.795,1.0,0.950318
tmt_sym.mtx,guided,8,100,5.550575,1.483583,3.741331,0.467666,8.36587,52.348297,6.257364,1.056476,6.610752,6.257361,0.26,0.26,36.13,33.197,0.0,-2.933,1.0,0.918821
tmt_sym.mtx,guided,16,1000,5.550575,1.478576,3.754,0.234625,8.36587,63.064922,7.538358,1.056476,7.96409,7.538354,0.26,0.26,36.13,34.206,0.0,-1.924,1.0,0.946748
tmt_sym.mtx,guided,32,10000,5.550575,2.297854,2.415547,0.075486,8.36587,87.816937,10.497048,1.056476,11.089873,10.497042,0.26,0.26,36.13,35.026,0.0,-1.104,1.0,0.969444
tmt_sym.mtx,guided,64,1,5.550575,12.719822,0.436372,0.006818,8.36587,68.372049,8.172736,1.056476,8.634295,8.172732,0.26,0.25,36.13,37.181,-0.01,1.051,0.961538,1.029089
tmt_sym.mtx,static,1,10000,5.550575,5.548811,1.000318,1.000318,8.36587,8.324134,0.995011,1.056476,1.051205,0.995011,0.26,0.26,36.13,34.637,0.0,-1.493,1.0,0.958677
tmt_sym.mtx,static,2,10000,5.550575,3.395295,1.634784,0.817392,8.36587,15.95023,1.906584,1.056476,2.014259,1.906583,0.26,0.26,36.13,33.987,0.0,-2.143,1.0,0.940686
tmt_sym.mtx,static,4,10000,5.550575,1.754761,3.163152,0.790788,8.36587,32.325355,3.863956,1.056476,4.082175,3.863954,0.26,0.26,36.13,33.486,0.0,-2.644,1.0,0.92682
tmt_sym.mtx,static,8,10000,5.550575,0.861335,6.444154,0.805519,8.36587,60.9145,7.281311,1.056476,7.692527,7.281308,0.26,0.26,36.13,34.273,0.0,-1.857,1.0,0.948602
tmt_sym.mtx,static,16,10000,5.550575,0.509167,10.901286,0.68133,8.36587,112.172553,13.408355,1.056476,14.165598,13.408348,0.26,0.26,36.13,34.651,0.0,-1.479,1.0,0.959064
tmt_sym.mtx,static,32,10000,5.550575,0.305366,18.176794,0.568025,8.36587,179.153323,21.414787,1.056476,22.624197,21.414776,0.26,0.26,36.13,33.621,0.0,-2.509,1.0,0.930556
tmt_sym.mtx,static,64,10000,5.550575,0.476122,11.657884,0.182154,8.36587,245.879588,29.390797,1.056476,31.050656,29.390782,0.26,0.25,36.13,33.072,-0.01,-3.058,0.961538,0.915361
