matrix,mode,opt_level,schedule,chunk_size,num_threads,p90_time_perf,p90_L1_miss,p90_LLC_miss
Hook_1498.mtx,parallel,-O3,guided,10,1,32.865214,0.27,23.916
Hook_1498.mtx,parallel,-O3,guided,10,2,26.517773,0.27,22.926
Hook_1498.mtx,parallel,-O3,guided,10,4,19.464969,0.27,23.1
Hook_1498.mtx,parallel,-O3,guided,10,8,14.278221,0.27,24.733
Hook_1498.mtx,parallel,-O3,guided,10,16,14.747715,0.27,28.125
Hook_1498.mtx,parallel,-O3,guided,10,32,155.960059,0.27,30.955
Hook_1498.mtx,parallel,-O3,guided,10,64,230.240321,0.27,33.082
Hook_1498.mtx,parallel,-O3,guided,100,1,32.722378,0.27,23.63
Hook_1498.mtx,parallel,-O3,guided,100,2,27.027511,0.27,23.347
Hook_1498.mtx,parallel,-O3,guided,100,4,18.152738,0.27,23.452
Hook_1498.mtx,parallel,-O3,guided,100,8,13.76462,0.27,24.693
Hook_1498.mtx,parallel,-O3,guided,100,16,14.579797,0.27,28.191
Hook_1498.mtx,parallel,-O3,guided,100,32,148.526073,0.27,29.75
Hook_1498.mtx,parallel,-O3,guided,100,64,250.867128,0.27,33.415
Hook_1498.mtx,parallel,-O3,guided,1000,1,33.057618,0.27,23.763
Hook_1498.mtx,parallel,-O3,guided,1000,2,26.52626,0.27,23.574
Hook_1498.mtx,parallel,-O3,guided,1000,4,18.19985,0.27,23.422
Hook_1498.mtx,parallel,-O3,guided,1000,8,13.718152,0.27,24.274
Hook_1498.mtx,parallel,-O3,guided,1000,16,14.213658,0.27,27.749
Hook_1498.mtx,parallel,-O3,guided,1000,32,152.338457,0.27,29.643
Hook_1498.mtx,parallel,-O3,guided,1000,64,249.026751,0.27,32.02
Hook_1498.mtx,parallel,-O3,guided,10000,1,32.993936,0.27,23.926
Hook_1498.mtx,parallel,-O3,guided,10000,2,27.087212,0.27,23.433
Hook_1498.mtx,parallel,-O3,guided,10000,4,18.21959,0.27,23.899
Hook_1498.mtx,parallel,-O3,guided,10000,8,13.992858,0.27,24.954
Hook_1498.mtx,parallel,-O3,guided,10000,16,14.978695,0.27,27.502
Hook_1498.mtx,parallel,-O3,guided,10000,32,161.080813,0.27,29.695
Hook_1498.mtx,parallel,-O3,guided,10000,64,213.533116,0.27,31.723
msdoor.mtx,parallel,-O3,static,1,1,12.248325,0.261,22.65
msdoor.mtx,parallel,-O3,static,1,2,19.482112,0.31,33.886
msdoor.mtx,parallel,-O3,static,1,4,19.45734,0.34,68.442
msdoor.mtx,parallel,-O3,static,1,8,12.970209,0.38,59.493
msdoor.mtx,parallel,-O3,static,1,16,8.275485,0.41,58.563
msdoor.mtx,parallel,-O3,static,1,32,5.485058,0.42,53.973
msdoor.mtx,parallel,-O3,static,1,64,26.017189,0.43,44.467
msdoor.mtx,parallel,-O3,static,10,1,12.146497,0.26,22.803
msdoor.mtx,parallel,-O3,static,10,2,14.382911,0.28,48.064
msdoor.mtx,parallel,-O3,static,10,4,9.954024,0.29,54.025
msdoor.mtx,parallel,-O3,static,10,8,5.988287,0.29,48.505
msdoor.mtx,parallel,-O3,static,10,16,4.879713,0.29,42.916
msdoor.mtx,parallel,-O3,static,10,32,4.153038,0.29,40.684
msdoor.mtx,parallel,-O3,static,10,64,27.615714,0.29,37.818
msdoor.mtx,parallel,-O3,static,100,1,12.311363,0.26,23.564
msdoor.mtx,parallel,-O3,static,100,2,10.931682,0.27,28.95
msdoor.mtx,parallel,-O3,static,100,4,5.91321,0.27,33.537
msdoor.mtx,parallel,-O3,static,100,8,3.559828,0.27,30.222
msdoor.mtx,parallel,-O3,static,100,16,3.126669,0.27,28.654
msdoor.mtx,parallel,-O3,static,100,32,20.354104,0.27,27.126
msdoor.mtx,parallel,-O3,static,100,64,33.118057,0.27,26.345
msdoor.mtx,parallel,-O3,static,1000,1,12.25214,0.26,23.153
msdoor.mtx,parallel,-O3,static,1000,2,10.373258,0.261,23.89
msdoor.mtx,parallel,-O3,static,1000,4,5.395913,0.261,27.881
msdoor.mtx,parallel,-O3,static,1000,8,3.25675,0.261,25.923
msdoor.mtx,parallel,-O3,static,1000,16,2.771402,0.261,25.665
msdoor.mtx,parallel,-O3,static,1000,32,4.861927,0.27,25.029
msdoor.mtx,parallel,-O3,static,1000,64,50.577378,0.26,24.616
msdoor.mtx,parallel,-O3,static,10000,1,12.233996,0.26,23.588
msdoor.mtx,parallel,-O3,static,10000,2,10.223174,0.26,23.442
msdoor.mtx,parallel,-O3,static,10000,4,5.18558,0.26,26.721
msdoor.mtx,parallel,-O3,static,10000,8,3.37832,0.261,26.308
msdoor.mtx,parallel,-O3,static,10000,16,3.079248,0.261,26.452
msdoor.mtx,parallel,-O3,static,10000,32,14.005948,0.26,25.516
msdoor.mtx,parallel,-O3,static,10000,64,25.971246,0.261,24.615
