num_procs,rank,matrix,elapsed_time,comm_time,local_nz,ghost_entries,local_flops,comp_time
32,26,Andrews,0.0008886810999999999,0.0007747171,12594,10236,25188,0.00011396399999999993
32,26,Hook_1498,0.08168802249999993,0.07039623249999993,975357,907363,1950714,0.011291789999999996
32,26,bcsstk27,0.0003029345,0.0002984045,912,841,1824,4.5299999999999854e-06
32,26,msdoor,0.016707349,0.0142951485,324962,304682,649924,0.0024122004999999995
32,26,tmt_sym,0.0036119937,0.0030444387,90734,66482,181468,0.0005675550000000004
32,27,Andrews,0.0010172363,0.0008950236,12852,10503,25704,0.00012221270000000004
32,27,Hook_1498,0.09443063769999993,0.08135929099999993,976861,908765,1953722,0.0130713467
32,27,bcsstk27,0.00031087359999999996,0.0003062968,895,823,1790,4.5767999999999525e-06
32,27,msdoor,0.0164175034,0.014589667300000001,327441,306959,654882,0.0018278360999999972
32,27,tmt_sym,0.0038270713,0.0032150742,90618,66448,181236,0.0006119971
32,28,Andrews,0.0006457095,0.0005584476,12705,10371,25410,8.726190000000003e-05
32,28,Hook_1498,0.051049995699999996,0.0429239273,976739,908731,1953478,0.008126068399999999
32,28,bcsstk27,0.000284648,0.0002801895,918,846,1836,4.458499999999998e-06
32,28,msdoor,0.0161575313,0.0138534548,320303,300160,640606,0.0023040765
32,28,tmt_sym,0.0035449031,0.0029348377,90812,66697,181624,0.0006100654
32,29,Andrews,0.0006318567,0.0005393025,13327,11007,26654,9.255419999999997e-05
32,29,Hook_1498,0.29539744859999995,0.2880715135,977034,909024,1954068,0.007325935099999958
32,29,bcsstk27,0.0003008605,0.0002969263,886,814,1772,3.934200000000048e-06
32,29,msdoor,0.0166425227,0.0145428898,322431,302216,644862,0.0020996328999999987
32,29,tmt_sym,0.0039059165,0.0033227921,90665,66497,181330,0.0005831244000000001
32,30,Andrews,0.0009371516999999999,0.0008187536,12832,10493,25664,0.00011839809999999995
32,30,Hook_1498,0.26004278659999996,0.25218975509999997,974854,906909,1949708,0.007853031499999996
32,30,bcsstk27,0.0003081796,0.0003031974,924,852,1848,4.982200000000015e-06
