rank,num_procs,run,elapsed_time,comm_time,local_nz,ghost_entries,local_flops,matrix
18,32,7,0.000622272,0.000537395,12733,10394,25466,Andrews
18,32,8,0.000650644,0.000565290,12733,10394,25466,Andrews
18,32,9,0.000588655,0.000504494,12733,10394,25466,Andrews
19,32,0,0.000615358,0.000525475,12879,10516,25758,Andrews
19,32,1,0.000595093,0.000508070,12879,10516,25758,Andrews
19,32,2,0.000573397,0.000478029,12879,10516,25758,Andrews
19,32,3,0.000566959,0.000479937,12879,10516,25758,Andrews
19,32,4,0.000630856,0.000544310,12879,10516,25758,Andrews
19,32,5,0.000649929,0.000564575,12879,10516,25758,Andrews
19,32,6,0.000619650,0.000534296,12879,10516,25758,Andrews
19,32,7,0.000587225,0.000502110,12879,10516,25758,Andrews
19,32,8,0.000677586,0.000591040,12879,10516,25758,Andrews
19,32,9,0.000590563,0.000504732,12879,10516,25758,Andrews
20,32,0,0.000596285,0.000500679,12724,10396,25448,Andrews
20,32,1,0.000603199,0.000509024,12724,10396,25448,Andrews
20,32,2,0.000587702,0.000488997,12724,10396,25448,Andrews
20,32,3,0.000610113,0.000518322,12724,10396,25448,Andrews
20,32,4,0.000595570,0.000497818,12724,10396,25448,Andrews
20,32,5,0.000604868,0.000512600,12724,10396,25448,Andrews
20,32,6,0.000606060,0.000513554,12724,10396,25448,Andrews
20,32,7,0.000597477,0.000505447,12724,10396,25448,Andrews
20,32,8,0.000608444,0.000515938,12724,10396,25448,Andrews
20,32,9,0.000580788,0.000488997,12724,10396,25448,Andrews
21,32,0,0.000612259,0.000522375,13110,10721,26220,Andrews
21,32,1,0.000581264,0.000492096,13110,10721,26220,Andrews
21,32,2,0.000628710,0.000540972,13110,10721,26220,Andrews
21,32,3,0.000623941,0.000536203,13110,10721,26220,Andrews
21,32,4,0.000607491,0.000519753,13110,10721,26220,Andrews
21,32,5,0.000665903,0.000578165,13110,10721,26220,Andrews
21,32,6,0.000644684,0.000556707,13110,10721,26220,Andrews
21,32,7,0.000599623,0.000512600,13110,10721,26220,Andrews
21,32,8,0.000638723,0.000548124,13110,10721,26220,Andrews
21,32,9,0.000592947,0.000506163,13110,10721,26220,Andrews
22,32,0,0.000600338,0.000514746,12606,10279,25212,Andrews
22,32,1,0.000594616,0.000509024,12606,10279,25212,Andrews
22,32,2,0.000612020,0.000528097,12606,10279,25212,Andrews
22,32,3,0.000616789,0.000533104,12606,10279,25212,Andrews
